Date	     Extent (million sq km)
10-1980	8.213
10-1980	8.485
10-1980	8.532
10-1980	8.809
10-1980	8.975
10-1980	9.161
10-1980	9.218
10-1980	9.272
10-1980	9.389
10-1980	9.468
10-1980	9.586
10-1980	9.643
10-1980	9.841
10-1980	9.911
10-1980	10.198
11-1980	10.42
11-1980	10.523
11-1980	10.652
11-1980	10.789
11-1980	10.88
11-1980	10.976
11-1980	11.087
11-1980	11.217
11-1980	11.337
11-1980	11.628
11-1980	11.78
11-1980	12.096
11-1980	12.256
11-1980	12.476
11-1980	12.626
12-1980	12.643
12-1980	13.032
12-1980	13.122
12-1980	13.298
12-1980	13.334
12-1980	13.569
12-1980	13.685
12-1980	13.91
12-1980	13.762
12-1980	13.697
12-1980	13.779
12-1980	13.798
12-1980	14
12-1980	14.172
12-1980	14.093
01-1981	14.256
01-1981	14.456
01-1981	14.435
01-1981	14.689
01-1981	14.619
01-1981	14.69
01-1981	14.649
01-1981	14.748
01-1981	14.998
01-1981	15.066
01-1981	15.055
01-1981	15.17
01-1981	15.244
01-1981	15.35
01-1981	15.503
01-1981	15.627
02-1981	15.646
02-1981	15.663
02-1981	15.629
02-1981	15.541
02-1981	15.44
02-1981	15.474
02-1981	15.482
02-1981	15.575
02-1981	15.592
02-1981	15.731
02-1981	15.654
02-1981	15.706
02-1981	15.667
02-1981	15.657
03-1981	15.628
03-1981	15.726
03-1981	15.646
03-1981	15.644
03-1981	15.733
03-1981	15.657
03-1981	15.801
03-1981	15.771
03-1981	15.528
03-1981	15.621
03-1981	15.535
03-1981	15.559
03-1981	15.626
03-1981	15.517
03-1981	15.481
04-1981	15.44
04-1981	15.221
04-1981	15.224
04-1981	15.242
04-1981	15.202
04-1981	15.135
04-1981	15.11
04-1981	15.086
04-1981	14.983
04-1981	14.95
04-1981	14.92
04-1981	14.844
04-1981	14.714
04-1981	14.564
04-1981	14.514
05-1981	14.272
05-1981	14.285
05-1981	14.249
05-1981	14.077
05-1981	14.083
05-1981	14.072
05-1981	14.025
05-1981	13.928
05-1981	13.843
05-1981	13.752
05-1981	13.568
05-1981	13.464
05-1981	13.378
05-1981	13.333
05-1981	13.275
05-1981	13.222
06-1981	13.059
06-1981	13.002
06-1981	12.954
06-1981	12.863
06-1981	12.721
06-1981	12.652
06-1981	12.487
06-1981	12.465
06-1981	12.364
06-1981	12.216
06-1981	12.064
06-1981	12.003
06-1981	12.013
06-1981	11.796
06-1981	11.787
07-1981	11.428
07-1981	11.33
07-1981	11.181
07-1981	11.022
07-1981	10.894
07-1981	10.691
07-1981	10.643
07-1981	10.354
07-1981	10.127
07-1981	9.826
07-1981	9.788
07-1981	9.538
07-1981	9.22
07-1981	9.106
07-1981	8.917
08-1981	8.733
08-1981	8.587
08-1981	8.326
08-1981	8.176
08-1981	8
08-1981	7.917
08-1981	7.883
08-1981	7.804
08-1981	7.724
08-1981	7.667
08-1981	7.593
08-1981	7.53
08-1981	7.495
08-1981	7.408
08-1981	7.296
08-1981	7.37
09-1981	7.203
09-1981	7.162
09-1981	6.992
09-1981	7.046
09-1981	6.902
09-1981	6.904
09-1981	6.952
09-1981	6.951
09-1981	7.002
09-1981	7.053
09-1981	7.231
09-1981	7.261
09-1981	7.303
09-1981	7.489
09-1981	7.626
10-1981	7.987
10-1981	8.087
10-1981	8.151
10-1981	8.354
10-1981	8.416
10-1981	8.63
10-1981	8.904
10-1981	9.037
10-1981	9.062
10-1981	9.134
10-1981	9.096
10-1981	9.233
10-1981	9.425
10-1981	9.609
10-1981	9.719
11-1981	9.905
11-1981	9.929
11-1981	10.337
11-1981	10.518
11-1981	10.51
11-1981	10.631
11-1981	10.908
11-1981	10.965
11-1981	11.197
11-1981	11.177
11-1981	11.273
11-1981	11.417
11-1981	11.611
11-1981	11.675
11-1981	11.882
12-1981	11.99
12-1981	12.336
12-1981	12.507
12-1981	12.698
12-1981	12.816
12-1981	12.948
12-1981	13.217
12-1981	13.418
12-1981	13.635
12-1981	13.802
12-1981	13.893
12-1981	13.877
12-1981	14.016
12-1981	13.953
12-1981	14.128
12-1981	14.224
01-1982	14.479
01-1982	14.642
01-1982	14.88
01-1982	14.993
01-1982	15.052
01-1982	15.141
01-1982	15.138
01-1982	15.22
01-1982	15.227
01-1982	15.208
01-1982	15.283
01-1982	15.391
01-1982	15.547
01-1982	15.695
01-1982	15.755
02-1982	15.836
02-1982	15.841
02-1982	15.85
02-1982	15.797
02-1982	15.829
02-1982	15.748
02-1982	15.854
02-1982	15.857
02-1982	16.058
02-1982	16.087
02-1982	16.094
02-1982	16.143
02-1982	16.31
02-1982	16.325
03-1982	16.234
03-1982	16.293
03-1982	16.315
03-1982	16.309
03-1982	16.123
03-1982	16.099
03-1982	16.005
03-1982	15.955
03-1982	15.905
03-1982	15.938
03-1982	15.911
03-1982	15.898
03-1982	15.929
03-1982	15.875
03-1982	15.931
03-1982	15.982
04-1982	15.945
04-1982	15.943
04-1982	15.859
04-1982	15.581
04-1982	15.577
04-1982	15.491
04-1982	15.627
04-1982	15.528
04-1982	15.448
04-1982	15.387
04-1982	15.276
04-1982	15.135
04-1982	15.105
04-1982	15.091
04-1982	14.997
05-1982	14.786
05-1982	14.679
05-1982	14.511
05-1982	14.319
05-1982	14.222
05-1982	14.137
05-1982	14.083
05-1982	14.003
05-1982	13.853
05-1982	13.653
05-1982	13.576
05-1982	13.583
05-1982	13.543
05-1982	13.38
05-1982	13.27
06-1982	13.091
06-1982	12.99
06-1982	12.874
06-1982	12.834
06-1982	12.75
06-1982	12.709
06-1982	12.678
06-1982	12.652
06-1982	12.476
06-1982	12.317
06-1982	12.145
06-1982	12.079
06-1982	11.918
06-1982	11.868
06-1982	11.76
07-1982	11.425
07-1982	11.442
07-1982	11.344
07-1982	11.165
07-1982	11.043
07-1982	10.816
07-1982	10.664
07-1982	10.436
07-1982	10.264
07-1982	10.179
07-1982	10.022
07-1982	9.782
07-1982	9.638
07-1982	9.417
07-1982	9.22
07-1982	9.016
08-1982	8.939
08-1982	8.746
08-1982	8.672
08-1982	8.45
08-1982	8.437
08-1982	8.366
08-1982	8.152
08-1982	8.008
08-1982	8.027
08-1982	7.915
08-1982	7.79
08-1982	7.759
08-1982	7.7
08-1982	7.582
08-1982	7.55
09-1982	7.404
09-1982	7.248
09-1982	7.233
09-1982	7.182
09-1982	7.18
09-1982	7.173
09-1982	7.16
09-1982	7.196
09-1982	7.197
09-1982	7.224
09-1982	7.329
09-1982	7.422
09-1982	7.417
09-1982	7.495
09-1982	7.666
10-1982	7.768
10-1982	8.016
10-1982	8.184
10-1982	8.331
10-1982	8.875
10-1982	9.179
10-1982	9.429
10-1982	9.608
10-1982	9.797
10-1982	9.836
10-1982	9.847
10-1982	10.067
10-1982	10.198
10-1982	10.423
10-1982	10.564
10-1982	10.615
11-1982	10.817
11-1982	10.893
11-1982	11.131
11-1982	11.03
11-1982	11.203
11-1982	11.348
11-1982	11.573
11-1982	11.792
11-1982	11.774
11-1982	11.698
11-1982	11.854
11-1982	11.929
11-1982	12.192
11-1982	12.483
11-1982	12.695
12-1982	12.822
12-1982	12.866
12-1982	12.963
12-1982	13.223
12-1982	13.351
12-1982	13.503
12-1982	13.606
12-1982	13.84
12-1982	13.895
12-1982	14.016
12-1982	13.963
12-1982	14.093
12-1982	14.183
12-1982	14.144
12-1982	14.159
01-1983	14.253
01-1983	14.306
01-1983	14.494
01-1983	14.467
01-1983	14.615
01-1983	14.648
01-1983	14.622
01-1983	14.916
01-1983	15.014
01-1983	15.052
01-1983	15.314
01-1983	15.396
01-1983	15.347
01-1983	15.401
01-1983	15.554
01-1983	15.68
02-1983	15.737
02-1983	15.719
02-1983	15.695
02-1983	15.822
02-1983	15.791
02-1983	15.999
02-1983	16.056
02-1983	15.971
02-1983	16.056
02-1983	16.167
02-1983	16.238
02-1983	16.28
02-1983	16.352
02-1983	16.203
03-1983	16.049
03-1983	15.958
03-1983	15.971
03-1983	16.101
03-1983	16.172
03-1983	16.349
03-1983	16.412
03-1983	16.214
03-1983	16.069
03-1983	16.212
03-1983	16.057
03-1983	15.976
03-1983	15.964
03-1983	15.926
03-1983	15.849
04-1983	15.886
04-1983	15.914
04-1983	15.734
04-1983	15.706
04-1983	15.528
04-1983	15.574
04-1983	15.317
04-1983	15.145
04-1983	15.063
04-1983	14.839
04-1983	14.819
04-1983	14.695
04-1983	14.553
04-1983	14.442
04-1983	14.366
05-1983	14.045
05-1983	13.929
05-1983	13.935
05-1983	13.787
05-1983	13.703
05-1983	13.64
05-1983	13.587
05-1983	13.502
05-1983	13.433
05-1983	13.319
05-1983	13.313
05-1983	13.27
05-1983	13.209
05-1983	13.132
05-1983	13.052
05-1983	13.005
06-1983	12.837
06-1983	12.764
06-1983	12.69
06-1983	12.59
06-1983	12.54
06-1983	12.412
06-1983	12.311
06-1983	12.276
06-1983	12.146
06-1983	12.16
06-1983	12.111
06-1983	11.965
06-1983	11.989
06-1983	11.896
06-1983	11.748
07-1983	11.515
07-1983	11.398
07-1983	11.261
07-1983	11.233
07-1983	11.108
07-1983	11.088
07-1983	10.913
07-1983	10.767
07-1983	10.491
07-1983	10.214
07-1983	10.076
07-1983	9.911
07-1983	9.655
07-1983	9.56
07-1983	9.364
08-1983	9.224
08-1983	9.046
08-1983	8.935
08-1983	8.731
08-1983	8.638
08-1983	8.46
08-1983	8.32
08-1983	8.073
08-1983	7.948
08-1983	7.899
08-1983	7.903
08-1983	7.777
08-1983	7.639
08-1983	7.534
08-1983	7.445
08-1983	7.402
09-1983	7.321
09-1983	7.314
09-1983	7.243
09-1983	7.204
09-1983	7.238
09-1983	7.305
09-1983	7.246
09-1983	7.261
09-1983	7.322
09-1983	7.499
09-1983	7.412
09-1983	7.425
09-1983	7.519
09-1983	7.731
09-1983	7.879
10-1983	8.143
10-1983	8.38
10-1983	8.638
10-1983	8.774
10-1983	8.943
10-1983	9.123
10-1983	9.205
10-1983	9.453
10-1983	9.585
10-1983	9.673
10-1983	9.878
10-1983	10.085
10-1983	9.558
10-1983	10.259
10-1983	10.314
11-1983	10.549
11-1983	10.737
11-1983	10.883
11-1983	10.84
11-1983	10.956
11-1983	11.172
11-1983	11.322
11-1983	11.473
11-1983	11.635
11-1983	11.802
11-1983	11.9
11-1983	11.934
11-1983	12.167
11-1983	12.208
11-1983	12.337
12-1983	12.769
12-1983	12.664
12-1983	12.877
12-1983	13.042
12-1983	13.043
12-1983	13.192
12-1983	13.344
12-1983	13.366
12-1983	13.325
12-1983	13.322
12-1983	13.326
12-1983	13.539
12-1983	13.54
12-1983	13.664
12-1983	13.855
12-1983	13.907
01-1984	14.103
01-1984	14.237
01-1984	14.262
01-1984	14.303
01-1984	14.387
01-1984	14.37
01-1984	14.388
01-1984	14.411
01-1984	14.302
01-1984	14.505
01-1984	14.626
01-1984	14.703
01-1984	14.788
01-1984	14.821
01-1984	14.893
02-1984	15.026
02-1984	15.107
02-1984	15.107
02-1984	15.08
02-1984	14.988
02-1984	15.181
02-1984	15.178
02-1984	15.335
02-1984	15.427
02-1984	15.47
02-1984	15.456
02-1984	15.467
02-1984	15.534
02-1984	15.561
02-1984	15.567
03-1984	15.431
03-1984	15.483
03-1984	15.554
03-1984	15.57
03-1984	15.587
03-1984	15.58
03-1984	15.676
03-1984	15.764
03-1984	15.809
03-1984	15.78
03-1984	15.614
03-1984	15.479
03-1984	15.486
03-1984	15.504
03-1984	15.446
04-1984	15.389
04-1984	15.335
04-1984	15.268
04-1984	15.16
04-1984	15.321
04-1984	15.287
04-1984	15.107
04-1984	15.085
04-1984	15.037
04-1984	14.973
04-1984	14.897
04-1984	14.699
04-1984	14.678
04-1984	14.608
04-1984	14.373
05-1984	14.194
05-1984	14.009
05-1984	13.976
05-1984	13.907
05-1984	13.816
05-1984	13.724
05-1984	13.764
05-1984	13.621
05-1984	13.451
05-1984	13.487
05-1984	13.367
05-1984	13.401
05-1984	13.289
05-1984	13.192
05-1984	13.035
05-1984	12.994
06-1984	12.828
06-1984	12.644
06-1984	12.526
06-1984	12.439
06-1984	12.354
06-1984	12.294
06-1984	12.254
06-1984	12.192
06-1984	12.079
06-1984	12.018
06-1984	11.966
06-1984	11.877
06-1984	11.783
06-1984	11.582
06-1984	11.439
07-1984	11.202
07-1984	10.989
07-1984	10.807
07-1984	10.699
07-1984	10.477
07-1984	10.183
07-1984	10.117
07-1984	9.929
07-1984	9.711
07-1984	9.629
07-1984	9.472
07-1984	9.368
07-1984	9.298
07-1984	8.875
07-1984	8.907
08-1984	8.745
08-1984	8.496
08-1984	8.303
08-1984	8.189
08-1984	8.027
08-1984	8.002
08-1984	7.918
08-1984	7.816
08-1984	7.698
08-1984	7.548
08-1984	7.461
08-1984	7.401
08-1984	7.346
08-1984	7.272
08-1984	7.057
08-1984	7.058
09-1984	6.828
09-1984	6.697
09-1984	6.528
09-1984	6.509
09-1984	6.501
09-1984	6.422
09-1984	6.461
09-1984	6.396
09-1984	6.514
09-1984	6.728
09-1984	6.974
09-1984	7.178
09-1984	7.338
09-1984	7.455
09-1984	7.549
10-1984	7.745
10-1984	7.947
10-1984	8.057
10-1984	8.227
10-1984	8.188
10-1984	8.26
10-1984	8.334
10-1984	8.354
10-1984	8.513
10-1984	8.638
10-1984	8.933
10-1984	9.116
10-1984	9.266
10-1984	9.398
10-1984	9.433
11-1984	9.565
11-1984	9.819
11-1984	9.969
11-1984	10.081
11-1984	10.224
11-1984	10.558
11-1984	10.578
11-1984	10.795
11-1984	11.072
11-1984	11.219
11-1984	11.518
11-1984	11.641
11-1984	11.812
11-1984	11.903
11-1984	11.869
12-1984	11.968
12-1984	12.263
12-1984	12.397
12-1984	12.712
12-1984	12.738
12-1984	12.837
12-1984	13.018
12-1984	13.124
12-1984	13.025
12-1984	13.24
12-1984	13.202
12-1984	13.307
12-1984	13.323
12-1984	13.394
12-1984	13.494
12-1984	13.789
01-1985	14.045
01-1985	14.24
01-1985	14.406
01-1985	14.432
01-1985	14.455
01-1985	14.584
01-1985	14.568
01-1985	14.71
01-1985	14.88
01-1985	14.906
01-1985	14.945
01-1985	15.036
01-1985	15.186
01-1985	15.313
01-1985	15.167
02-1985	15.252
02-1985	15.298
02-1985	15.445
02-1985	15.441
02-1985	15.549
02-1985	15.447
02-1985	15.448
02-1985	15.554
02-1985	15.473
02-1985	15.368
02-1985	15.498
02-1985	15.447
02-1985	15.568
02-1985	15.732
03-1985	15.791
03-1985	15.698
03-1985	15.706
03-1985	15.681
03-1985	15.575
03-1985	15.614
03-1985	15.914
03-1985	16.094
03-1985	16.163
03-1985	16.059
03-1985	16.044
03-1985	16.063
03-1985	16.027
03-1985	16.019
03-1985	15.957
03-1985	15.77
04-1985	15.58
04-1985	15.576
04-1985	15.535
04-1985	15.459
04-1985	15.445
04-1985	15.524
04-1985	15.432
04-1985	15.511
04-1985	15.454
04-1985	15.252
04-1985	15.226
04-1985	15.225
04-1985	15.109
04-1985	15.065
04-1985	14.955
05-1985	14.714
05-1985	14.655
05-1985	14.56
05-1985	14.394
05-1985	14.32
05-1985	14.282
05-1985	14.172
05-1985	14.077
05-1985	13.914
05-1985	13.896
05-1985	13.868
05-1985	13.705
05-1985	13.625
05-1985	13.58
05-1985	13.339
06-1985	13.063
06-1985	12.935
06-1985	12.783
06-1985	12.731
06-1985	12.674
06-1985	12.475
06-1985	12.303
06-1985	12.217
06-1985	12.109
06-1985	11.88
06-1985	11.81
06-1985	11.805
06-1985	11.61
06-1985	11.498
06-1985	11.393
07-1985	11.135
07-1985	10.926
07-1985	10.791
07-1985	10.652
07-1985	10.382
07-1985	10.399
07-1985	10.112
07-1985	9.839
07-1985	9.702
07-1985	9.441
07-1985	9.213
07-1985	9.114
07-1985	8.851
07-1985	8.656
07-1985	8.4
07-1985	8.3
08-1985	8.152
08-1985	8.074
08-1985	7.995
08-1985	7.754
08-1985	7.639
08-1985	7.525
08-1985	7.442
08-1985	7.331
08-1985	7.212
08-1985	7.19
08-1985	7.139
08-1985	7.012
08-1985	6.907
08-1985	6.863
08-1985	6.793
09-1985	6.724
09-1985	6.61
09-1985	6.505
09-1985	6.496
09-1985	6.486
09-1985	6.495
09-1985	6.558
09-1985	6.568
09-1985	6.657
09-1985	6.725
09-1985	6.745
09-1985	6.799
