Date	     Extent (million sq km)
03-1992	15.525
03-1992	15.546
03-1992	15.576
03-1992	15.521
03-1992	15.493
03-1992	15.476
03-1992	15.422
03-1992	15.371
03-1992	15.406
03-1992	15.461
03-1992	15.505
03-1992	15.512
03-1992	15.547
03-1992	15.535
03-1992	15.56
03-1992	15.57
03-1992	15.569
03-1992	15.554
03-1992	15.543
03-1992	15.401
03-1992	15.41
03-1992	15.347
04-1992	15.311
04-1992	15.222
04-1992	15.135
04-1992	15.108
04-1992	15.013
04-1992	14.935
04-1992	14.93
04-1992	14.884
04-1992	14.809
04-1992	14.736
04-1992	14.747
04-1992	14.719
04-1992	14.708
04-1992	14.689
04-1992	14.709
04-1992	14.652
04-1992	14.677
04-1992	14.622
04-1992	14.607
04-1992	14.595
04-1992	14.563
04-1992	14.606
04-1992	14.571
04-1992	14.463
04-1992	14.351
04-1992	14.303
04-1992	14.297
04-1992	14.198
04-1992	14.121
04-1992	14.026
05-1992	13.867
05-1992	13.801
05-1992	13.657
05-1992	13.566
05-1992	13.53
05-1992	13.536
05-1992	13.502
05-1992	13.521
05-1992	13.436
05-1992	13.356
05-1992	13.24
05-1992	13.23
05-1992	13.192
05-1992	13.186
05-1992	13.162
05-1992	13.13
05-1992	13.089
05-1992	13.12
05-1992	13.09
05-1992	13.069
05-1992	13.06
05-1992	13.043
05-1992	12.978
05-1992	12.988
05-1992	12.934
05-1992	12.915
05-1992	12.947
05-1992	12.96
05-1992	12.89
05-1992	12.878
05-1992	12.809
06-1992	12.665
06-1992	12.644
06-1992	12.593
06-1992	12.59
06-1992	12.461
06-1992	12.415
06-1992	12.379
06-1992	12.382
06-1992	12.353
06-1992	12.334
06-1992	12.336
06-1992	12.32
06-1992	12.275
06-1992	12.266
06-1992	12.189
06-1992	12.16
06-1992	12.107
06-1992	12.026
06-1992	11.989
06-1992	12.014
06-1992	11.904
06-1992	11.886
06-1992	11.911
06-1992	11.852
06-1992	11.797
06-1992	11.82
06-1992	11.752
06-1992	11.732
06-1992	11.682
06-1992	11.569
07-1992	11.38
07-1992	11.341
07-1992	11.28
07-1992	11.242
07-1992	11.198
07-1992	11.087
07-1992	11.052
07-1992	10.988
07-1992	10.919
07-1992	10.825
07-1992	10.853
07-1992	10.723
07-1992	10.648
07-1992	10.603
07-1992	10.481
07-1992	10.333
07-1992	10.274
07-1992	10.252
07-1992	10.133
07-1992	10.058
07-1992	9.9
07-1992	9.906
07-1992	9.838
07-1992	9.744
07-1992	9.562
07-1992	9.437
07-1992	9.358
07-1992	9.304
07-1992	9.184
07-1992	9.076
07-1992	9.038
08-1992	8.888
08-1992	8.813
08-1992	8.707
08-1992	8.638
08-1992	8.545
08-1992	8.505
08-1992	8.401
08-1992	8.256
08-1992	8.185
08-1992	8.142
08-1992	7.999
08-1992	8.015
08-1992	8.009
08-1992	7.994
08-1992	7.915
08-1992	7.794
08-1992	7.757
08-1992	7.73
08-1992	7.775
08-1992	7.682
08-1992	7.674
08-1992	7.614
08-1992	7.562
08-1992	7.536
08-1992	7.446
08-1992	7.428
08-1992	7.4
08-1992	7.404
08-1992	7.346
08-1992	7.286
08-1992	7.237
09-1992	7.235
09-1992	7.319
09-1992	7.296
09-1992	7.279
09-1992	7.234
09-1992	7.169
09-1992	7.159
09-1992	7.212
09-1992	7.27
09-1992	7.269
09-1992	7.252
09-1992	7.256
09-1992	7.245
09-1992	7.28
09-1992	7.281
09-1992	7.324
09-1992	7.361
09-1992	7.419
09-1992	7.428
09-1992	7.483
09-1992	7.519
09-1992	7.576
09-1992	7.641
09-1992	7.728
09-1992	7.752
09-1992	7.85
09-1992	7.975
09-1992	8.068
09-1992	8.137
09-1992	8.194
10-1992	8.359
10-1992	8.387
10-1992	8.545
10-1992	8.619
10-1992	8.732
10-1992	8.819
10-1992	8.801
10-1992	8.885
10-1992	8.971
10-1992	9.052
10-1992	9.097
10-1992	9.177
10-1992	9.292
10-1992	9.281
10-1992	9.327
10-1992	9.41
10-1992	9.422
10-1992	9.43
10-1992	9.482
10-1992	9.473
10-1992	9.505
10-1992	9.626
10-1992	9.743
10-1992	9.771
10-1992	9.828
10-1992	9.794
10-1992	9.787
10-1992	9.901
10-1992	10.019
10-1992	10.158
10-1992	10.212
11-1992	10.376
11-1992	10.398
11-1992	10.368
11-1992	10.431
11-1992	10.424
11-1992	10.564
11-1992	10.653
11-1992	10.723
11-1992	10.669
11-1992	10.756
11-1992	10.844
11-1992	10.971
11-1992	11.051
11-1992	11.016
11-1992	11.138
11-1992	11.361
11-1992	11.576
11-1992	11.653
11-1992	11.81
11-1992	11.907
11-1992	11.986
11-1992	11.98
11-1992	12.103
11-1992	12.253
11-1992	12.273
11-1992	12.288
11-1992	12.348
11-1992	12.424
11-1992	12.511
11-1992	12.505
12-1992	12.715
12-1992	12.811
12-1992	12.855
12-1992	12.998
12-1992	13.013
12-1992	13.134
12-1992	13.189
12-1992	13.14
12-1992	13.116
12-1992	13.212
12-1992	13.355
12-1992	13.239
12-1992	13.298
12-1992	13.324
12-1992	13.417
12-1992	13.479
12-1992	13.429
12-1992	13.468
12-1992	13.57
12-1992	13.612
12-1992	13.619
12-1992	13.672
12-1992	13.67
12-1992	13.67
12-1992	13.666
12-1992	13.733
12-1992	13.736
12-1992	13.792
12-1992	13.837
12-1992	13.915
12-1992	13.945
01-1993	14.035
01-1993	14.141
01-1993	14.25
01-1993	14.255
01-1993	14.266
01-1993	14.22
01-1993	14.348
01-1993	14.434
01-1993	14.493
01-1993	14.507
01-1993	14.523
01-1993	14.593
01-1993	14.623
01-1993	14.765
01-1993	14.899
01-1993	14.985
01-1993	15.109
01-1993	15.138
01-1993	15.154
01-1993	15.206
01-1993	15.175
01-1993	15.324
01-1993	15.31
01-1993	15.394
01-1993	15.447
01-1993	15.515
01-1993	15.551
01-1993	15.601
01-1993	15.548
01-1993	15.507
01-1993	15.462
02-1993	15.449
02-1993	15.475
02-1993	15.555
02-1993	15.51
02-1993	15.52
02-1993	15.525
02-1993	15.65
02-1993	15.707
02-1993	15.778
02-1993	15.933
02-1993	15.796
02-1993	15.726
02-1993	15.744
02-1993	15.634
02-1993	15.652
02-1993	15.637
02-1993	15.763
02-1993	15.82
02-1993	15.798
02-1993	15.819
02-1993	15.799
02-1993	15.885
02-1993	15.874
02-1993	15.749
02-1993	15.553
02-1993	15.525
02-1993	15.611
02-1993	15.711
03-1993	15.754
03-1993	15.825
03-1993	15.839
03-1993	15.764
03-1993	15.882
03-1993	15.888
03-1993	15.878
03-1993	15.914
03-1993	15.929
03-1993	15.906
03-1993	15.985
03-1993	15.965
03-1993	16.048
03-1993	16.031
03-1993	15.865
03-1993	15.835
03-1993	15.86
03-1993	15.784
03-1993	15.635
03-1993	15.656
03-1993	15.734
03-1993	15.732
03-1993	15.776
03-1993	15.775
03-1993	15.719
03-1993	15.754
03-1993	15.699
03-1993	15.67
03-1993	15.74
03-1993	15.736
03-1993	15.63
04-1993	15.598
04-1993	15.527
04-1993	15.466
04-1993	15.398
04-1993	15.38
04-1993	15.381
04-1993	15.396
04-1993	15.348
04-1993	15.257
04-1993	15.286
04-1993	15.319
04-1993	15.296
04-1993	15.273
04-1993	15.248
04-1993	15.19
04-1993	15.182
04-1993	15.168
04-1993	15.079
04-1993	15.015
04-1993	14.957
04-1993	15.032
04-1993	14.88
04-1993	14.802
04-1993	14.837
04-1993	14.758
04-1993	14.717
04-1993	14.509
04-1993	14.391
04-1993	14.341
04-1993	14.285
05-1993	14.172
05-1993	14.134
05-1993	14.028
05-1993	14.036
05-1993	13.955
05-1993	13.902
05-1993	13.862
05-1993	13.872
05-1993	13.797
05-1993	13.674
05-1993	13.657
05-1993	13.604
05-1993	13.599
05-1993	13.571
05-1993	13.469
05-1993	13.37
05-1993	13.307
05-1993	13.21
05-1993	13.188
05-1993	13.061
05-1993	13.044
05-1993	12.957
05-1993	12.929
05-1993	12.887
05-1993	12.9
05-1993	12.812
05-1993	12.75
05-1993	12.758
05-1993	12.681
05-1993	12.665
05-1993	12.564
06-1993	12.431
06-1993	12.429
06-1993	12.363
06-1993	12.375
06-1993	12.342
06-1993	12.297
06-1993	12.278
06-1993	12.254
06-1993	12.248
06-1993	12.145
06-1993	12.095
06-1993	12.097
06-1993	12.024
06-1993	11.984
06-1993	11.907
06-1993	11.821
06-1993	11.842
06-1993	11.826
06-1993	11.709
06-1993	11.668
06-1993	11.637
06-1993	11.58
06-1993	11.575
06-1993	11.514
06-1993	11.45
06-1993	11.346
06-1993	11.318
06-1993	11.304
06-1993	11.199
06-1993	11.069
07-1993	10.845
07-1993	10.809
07-1993	10.751
07-1993	10.67
07-1993	10.571
07-1993	10.416
07-1993	10.176
07-1993	10.098
07-1993	10.003
07-1993	9.909
07-1993	9.735
07-1993	9.619
07-1993	9.583
07-1993	9.488
07-1993	9.449
07-1993	9.326
07-1993	9.293
07-1993	9.172
07-1993	9.062
07-1993	9.047
07-1993	9.068
07-1993	8.944
07-1993	8.849
07-1993	8.827
07-1993	8.76
07-1993	8.679
07-1993	8.594
07-1993	8.5
07-1993	8.498
07-1993	8.518
07-1993	8.508
08-1993	8.306
08-1993	8.204
08-1993	8.134
08-1993	8.128
08-1993	8.119
08-1993	8.07
08-1993	7.96
08-1993	7.912
08-1993	7.852
08-1993	7.757
08-1993	7.633
08-1993	7.56
08-1993	7.443
08-1993	7.41
08-1993	7.326
08-1993	7.247
08-1993	7.208
08-1993	7.194
08-1993	7.12
08-1993	7.079
08-1993	7.009
08-1993	6.934
08-1993	6.856
08-1993	6.814
08-1993	6.853
08-1993	6.714
08-1993	6.633
08-1993	6.528
08-1993	6.469
08-1993	6.464
08-1993	6.449
09-1993	6.348
09-1993	6.321
09-1993	6.304
09-1993	6.265
09-1993	6.205
09-1993	6.163
09-1993	6.162
09-1993	6.175
09-1993	6.218
09-1993	6.206
09-1993	6.22
09-1993	6.201
09-1993	6.161
09-1993	6.189
09-1993	6.189
09-1993	6.212
09-1993	6.295
09-1993	6.352
09-1993	6.365
09-1993	6.391
09-1993	6.341
09-1993	6.401
09-1993	6.457
09-1993	6.52
09-1993	6.64
09-1993	6.778
09-1993	6.9
09-1993	6.91
09-1993	6.99
09-1993	7.021
10-1993	7.251
10-1993	7.312
10-1993	7.292
10-1993	7.401
10-1993	7.65
10-1993	7.862
10-1993	8.057
10-1993	8.188
10-1993	8.336
10-1993	8.376
10-1993	8.535
10-1993	8.713
10-1993	8.883
10-1993	8.935
10-1993	8.908
10-1993	8.873
10-1993	8.886
10-1993	8.939
10-1993	8.999
10-1993	9.046
10-1993	9.147
10-1993	9.233
10-1993	9.358
10-1993	9.522
10-1993	9.596
10-1993	9.62
10-1993	9.684
10-1993	9.776
10-1993	9.849
10-1993	9.985
10-1993	10.158
11-1993	10.29
11-1993	10.424
11-1993	10.553
11-1993	10.639
11-1993	10.7
11-1993	10.794
11-1993	10.874
11-1993	10.988
11-1993	11.031
11-1993	11.032
11-1993	11.082
11-1993	11.14
11-1993	11.286
11-1993	11.326
11-1993	11.422
11-1993	11.361
11-1993	11.413
11-1993	11.435
11-1993	11.511
11-1993	11.61
11-1993	11.55
11-1993	11.594
11-1993	11.653
11-1993	11.746
11-1993	11.889
11-1993	11.917
11-1993	11.994
11-1993	12.04
11-1993	12.108
11-1993	12.16
12-1993	12.288
12-1993	12.345
12-1993	12.431
12-1993	12.475
12-1993	12.633
12-1993	12.69
12-1993	12.772
12-1993	12.97
12-1993	13.033
12-1993	13.147
12-1993	13.225
12-1993	13.246
12-1993	13.188
12-1993	13.281
12-1993	13.354
12-1993	13.414
12-1993	13.453
12-1993	13.59
12-1993	13.645
12-1993	13.783
12-1993	13.678
12-1993	13.68
12-1993	13.623
12-1993	13.631
12-1993	13.786
12-1993	13.867
12-1993	13.903
12-1993	13.886
12-1993	13.927
12-1993	13.977
12-1993	13.967
01-1994	14.095
01-1994	14.11
01-1994	14.042
01-1994	14.168
01-1994	14.231
01-1994	14.295
01-1994	14.381
01-1994	14.322
01-1994	14.397
01-1994	14.476
01-1994	14.515
01-1994	14.58
01-1994	14.595
01-1994	14.617
01-1994	14.685
01-1994	14.757
01-1994	14.807
01-1994	14.895
01-1994	14.865
01-1994	14.894
01-1994	14.948
01-1994	14.933
01-1994	15.021
01-1994	15.054
01-1994	15.089
01-1994	15.141
01-1994	15.255
01-1994	15.299
01-1994	15.359
01-1994	15.4
01-1994	15.397
02-1994	15.409
02-1994	15.42
02-1994	15.438
02-1994	15.429
02-1994	15.479
02-1994	15.515
02-1994	15.474
02-1994	15.521
02-1994	15.46
02-1994	15.525
02-1994	15.539
02-1994	15.541
02-1994	15.549
02-1994	15.579
02-1994	15.492
02-1994	15.507
02-1994	15.549
02-1994	15.581
02-1994	15.624
02-1994	15.701
02-1994	15.77
02-1994	15.738
02-1994	15.686
02-1994	15.682
02-1994	15.613
02-1994	15.592
02-1994	15.641
02-1994	15.679
03-1994	15.675
03-1994	15.765
03-1994	15.729
03-1994	15.735
03-1994	15.711
03-1994	15.658
03-1994	15.634
03-1994	15.601
03-1994	15.491
03-1994	15.502
03-1994	15.55
03-1994	15.521
03-1994	15.559
03-1994	15.589
03-1994	15.607
03-1994	15.562
03-1994	15.498
03-1994	15.475
03-1994	15.45
03-1994	15.368
03-1994	15.399
03-1994	15.399
03-1994	15.502
03-1994	15.543
03-1994	15.494
03-1994	15.523
03-1994	15.553
03-1994	15.555
03-1994	15.551
03-1994	15.485
03-1994	15.478
04-1994	15.47
04-1994	15.357
04-1994	15.307
04-1994	15.241
04-1994	15.146
04-1994	15.142
04-1994	15.095
04-1994	15.076
04-1994	15.088
04-1994	15.116
04-1994	15.052
04-1994	14.997
04-1994	15.004
04-1994	14.962
04-1994	14.89
04-1994	14.839
04-1994	14.78
04-1994	14.792
04-1994	14.754
04-1994	14.776
04-1994	14.773
04-1994	14.65
04-1994	14.634
04-1994	14.632
04-1994	14.618
04-1994	14.635
04-1994	14.578
04-1994	14.519
04-1994	14.418
04-1994	14.3
05-1994	14.126
05-1994	14.187
05-1994	14.147
05-1994	14.099
05-1994	14.105
05-1994	14.123
05-1994	14.028
05-1994	13.941
05-1994	13.91
05-1994	13.906
05-1994	13.871
05-1994	13.842
05-1994	13.804
05-1994	13.782
05-1994	13.707
05-1994	13.668
05-1994	13.655
05-1994	13.61
05-1994	13.517
05-1994	13.502
05-1994	13.461
05-1994	13.384
05-1994	13.296
05-1994	13.188
05-1994	13.157
05-1994	13.127
05-1994	13.11
05-1994	13.112
05-1994	13.039
05-1994	12.985
05-1994	12.967
06-1994	12.779
06-1994	12.696
06-1994	12.599
06-1994	12.575
06-1994	12.543
06-1994	12.52
06-1994	12.487
06-1994	12.383
06-1994	12.301
06-1994	12.295
06-1994	12.304
06-1994	12.239
06-1994	12.133
06-1994	12.137
06-1994	12.066
06-1994	11.968
06-1994	11.911
06-1994	11.896
06-1994	11.826
06-1994	11.777
06-1994	11.743
06-1994	11.68
06-1994	11.704
06-1994	11.626
06-1994	11.507
06-1994	11.442
06-1994	11.426
06-1994	11.356
06-1994	11.341
06-1994	11.232
07-1994	11.091
07-1994	11
07-1994	10.94
07-1994	10.905
07-1994	10.869
07-1994	10.844
07-1994	10.737
07-1994	10.719
07-1994	10.578
07-1994	10.498
07-1994	10.441
07-1994	10.402
07-1994	10.304
07-1994	10.157
07-1994	10.013
07-1994	9.955
07-1994	9.821
07-1994	9.761
07-1994	9.658
07-1994	9.534
07-1994	9.379
07-1994	9.273
07-1994	9.268
07-1994	9.218
07-1994	9.104
07-1994	9.08
07-1994	9.007
07-1994	8.937
07-1994	8.824
07-1994	8.734
07-1994	8.629
08-1994	8.505
08-1994	8.377
08-1994	8.37
08-1994	8.344
08-1994	8.229
08-1994	8.209
08-1994	8.089
08-1994	7.956
08-1994	7.912
08-1994	7.816
08-1994	7.724
08-1994	7.709
08-1994	7.627
08-1994	7.545
08-1994	7.588
08-1994	7.533
08-1994	7.428
08-1994	7.381
08-1994	7.446
08-1994	7.367
08-1994	7.272
08-1994	7.339
08-1994	7.334
08-1994	7.273
08-1994	7.282
08-1994	7.197
08-1994	7.24
08-1994	7.242
08-1994	7.258
08-1994	7.161
08-1994	7.065
09-1994	7.072
09-1994	7.023
09-1994	7.027
09-1994	6.946
09-1994	6.934
09-1994	6.956
09-1994	6.995
09-1994	6.973
09-1994	6.992
09-1994	6.938
09-1994	6.97
09-1994	7.019
09-1994	6.945
09-1994	6.975
09-1994	7.027
09-1994	7.145
09-1994	7.096
09-1994	7.118
09-1994	7.139
09-1994	7.19
09-1994	7.182
09-1994	7.185
09-1994	7.192
09-1994	7.243
09-1994	7.303
09-1994	7.362
09-1994	7.376
09-1994	7.427
09-1994	7.617
09-1994	7.761
10-1994	7.894
10-1994	7.954
10-1994	7.983
10-1994	8.005
10-1994	8.15
10-1994	8.117
10-1994	8.168
10-1994	8.11
10-1994	8.176
10-1994	8.27
10-1994	8.364
10-1994	8.445
10-1994	8.458
10-1994	8.542
10-1994	8.652
10-1994	8.781
10-1994	8.924
10-1994	9.053
10-1994	9.079
10-1994	9.231
10-1994	9.354
10-1994	9.412
10-1994	9.564
10-1994	9.694
10-1994	9.776
10-1994	9.851
10-1994	9.953
10-1994	10.01
10-1994	10.07
10-1994	10.154
10-1994	10.18
11-1994	10.241
11-1994	10.293
11-1994	10.342
11-1994	10.422
11-1994	10.545
11-1994	10.576
11-1994	10.665
11-1994	10.685
11-1994	10.671
11-1994	10.817
11-1994	10.845
11-1994	10.944
11-1994	10.971
11-1994	11.016
11-1994	11.022
11-1994	11.042
11-1994	11.114
11-1994	11.17
11-1994	11.27
11-1994	11.348
11-1994	11.431
11-1994	11.513
11-1994	11.487
11-1994	11.592
11-1994	11.744
11-1994	11.862
11-1994	11.938
11-1994	12.023
11-1994	12.034
11-1994	12.073
12-1994	12.284
12-1994	12.363
12-1994	12.478
12-1994	12.639
12-1994	12.574
12-1994	12.632
12-1994	12.649
12-1994	12.816
12-1994	12.907
12-1994	13.004
12-1994	13.061
12-1994	13.055
12-1994	13.033
12-1994	13.069
12-1994	13.158
12-1994	13.301
12-1994	13.365
12-1994	13.509
12-1994	13.55
12-1994	13.577
12-1994	13.624
12-1994	13.673
12-1994	13.706
12-1994	13.782
12-1994	13.765
12-1994	13.83
12-1994	13.919
12-1994	13.899
12-1994	14.024
12-1994	14.074
12-1994	14.108
01-1995	14.145
01-1995	14.258
01-1995	14.335
01-1995	14.288
01-1995	14.304
01-1995	14.325
01-1995	14.364
01-1995	14.344
01-1995	14.31
01-1995	14.263
01-1995	14.336
01-1995	14.479
01-1995	14.518
01-1995	14.619
01-1995	14.56
01-1995	14.588
01-1995	14.69
01-1995	14.668
01-1995	14.737
01-1995	14.764
01-1995	14.793
01-1995	14.801
01-1995	14.826
01-1995	14.758
01-1995	14.802
01-1995	14.76
01-1995	14.794
01-1995	14.867
01-1995	14.96
01-1995	14.956
01-1995	14.966
02-1995	15.054
02-1995	15.086
02-1995	15.094
02-1995	15.139
02-1995	15.259
02-1995	15.212
02-1995	15.213
02-1995	15.251
02-1995	15.238
02-1995	15.19
02-1995	15.197
02-1995	15.281
02-1995	15.194
02-1995	15.173
02-1995	15.173
02-1995	15.181
02-1995	15.266
02-1995	15.228
02-1995	15.267
02-1995	15.245
02-1995	15.264
02-1995	15.21
02-1995	15.227
02-1995	15.352
02-1995	15.358
02-1995	15.296
02-1995	15.301
02-1995	15.37
03-1995	15.344
03-1995	15.318
03-1995	15.271
03-1995	15.326
03-1995	15.296
03-1995	15.359
03-1995	15.3
03-1995	15.333
03-1995	15.352
03-1995	15.239
03-1995	15.203
03-1995	15.138
03-1995	15.182
03-1995	15.12
03-1995	15.124
03-1995	15.191
03-1995	15.243
03-1995	15.206
03-1995	15.167
03-1995	15.251
03-1995	15.288
03-1995	15.3
03-1995	15.271
03-1995	15.256
03-1995	15.217
03-1995	15.193
03-1995	15.261
03-1995	15.289
03-1995	15.304
03-1995	15.339
03-1995	15.384
04-1995	15.219
04-1995	15.118
04-1995	15.108
04-1995	14.977
04-1995	14.906
04-1995	14.937
04-1995	14.923
04-1995	14.871
04-1995	14.71
04-1995	14.686
04-1995	14.593
04-1995	14.596
04-1995	14.536
04-1995	14.458
04-1995	14.483
04-1995	14.34
04-1995	14.325
04-1995	14.337
04-1995	14.35
04-1995	14.261
04-1995	14.231
04-1995	14.161
04-1995	14.06
04-1995	14.006
04-1995	13.984
04-1995	13.951
04-1995	13.925
04-1995	13.882
04-1995	13.814
04-1995	13.71
05-1995	13.556
05-1995	13.539
05-1995	13.54
05-1995	13.515
05-1995	13.449
05-1995	13.437
05-1995	13.419
05-1995	13.404
05-1995	13.36
05-1995	13.379
05-1995	13.388
05-1995	13.35
05-1995	13.321
05-1995	13.245
05-1995	13.212
05-1995	13.107
05-1995	13.068
05-1995	12.951
05-1995	12.859
05-1995	12.775
05-1995	12.662
05-1995	12.559
05-1995	12.495
05-1995	12.436
05-1995	12.348
05-1995	12.335
05-1995	12.349
05-1995	12.298
05-1995	12.295
05-1995	12.268
05-1995	12.215
06-1995	12.096
06-1995	12.048
06-1995	11.995
06-1995	11.987
06-1995	11.969
06-1995	11.882
06-1995	11.844
06-1995	11.84
06-1995	11.753
06-1995	11.768
06-1995	11.657
06-1995	11.656
06-1995	11.583
06-1995	11.551
06-1995	11.523
06-1995	11.509
06-1995	11.399
06-1995	11.311
06-1995	11.314
06-1995	11.253
06-1995	11.147
06-1995	11.055
06-1995	11.08
06-1995	10.983
06-1995	11.016
06-1995	10.967
06-1995	10.895
06-1995	10.798
06-1995	10.704
06-1995	10.63
07-1995	10.423
07-1995	10.346
07-1995	10.294
07-1995	10.256
07-1995	10.137
07-1995	9.894
07-1995	9.754
07-1995	9.672
07-1995	9.655
07-1995	9.477
07-1995	9.389
07-1995	9.273
07-1995	9.197
07-1995	9.131
07-1995	9.029
07-1995	8.958
07-1995	8.88
07-1995	8.723
07-1995	8.645
07-1995	8.564
07-1995	8.496
07-1995	8.461
07-1995	8.39
07-1995	8.314
07-1995	8.158
07-1995	8.049
07-1995	7.988
07-1995	7.939
07-1995	7.813
07-1995	7.709
07-1995	7.586
08-1995	7.513
08-1995	7.378
08-1995	7.393
08-1995	7.298
08-1995	7.255
08-1995	7.196
08-1995	7.105
08-1995	7.008
08-1995	6.946
08-1995	6.898
08-1995	6.859
08-1995	6.791
08-1995	6.748
08-1995	6.721
08-1995	6.699
08-1995	6.651
08-1995	6.675
08-1995	6.624
08-1995	6.642
08-1995	6.614
08-1995	6.575
08-1995	6.551
08-1995	6.398
08-1995	6.369
08-1995	6.402
08-1995	6.357
08-1995	6.295
08-1995	6.306
08-1995	6.284
08-1995	6.264
08-1995	6.26
09-1995	6.189
09-1995	6.15
09-1995	6.076
09-1995	6.012
09-1995	6.013
09-1995	6.035
09-1995	6.016
09-1995	6.059
09-1995	6.02
09-1995	6.106
09-1995	6.116
09-1995	6.104
09-1995	6.068
09-1995	6.053
09-1995	6.054
09-1995	6.068
09-1995	6.039
09-1995	6.037
09-1995	6.087
09-1995	6.132
09-1995	6.116
09-1995	6.099
09-1995	6.106
09-1995	6.107
09-1995	6.075
09-1995	6.11
09-1995	6.121
09-1995	6.122
09-1995	6.075
09-1995	6.039
10-1995	6.163
10-1995	6.188
10-1995	6.2
10-1995	6.173
10-1995	6.256
10-1995	6.309
10-1995	6.375
10-1995	6.413
10-1995	6.488
10-1995	6.523
10-1995	6.605
10-1995	6.772
10-1995	7.011
10-1995	7.322
10-1995	7.65
10-1995	7.875
10-1995	8.031
10-1995	8.263
10-1995	8.435
10-1995	8.514
10-1995	8.706
10-1995	8.962
10-1995	9.116
10-1995	9.13
10-1995	9.211
10-1995	9.315
10-1995	9.438
10-1995	9.659
10-1995	9.818
10-1995	9.857
10-1995	9.919
11-1995	10.003
11-1995	10.104
11-1995	10.142
11-1995	10.127
11-1995	10.027
11-1995	10.081
11-1995	10.107
11-1995	10.21
11-1995	10.337
11-1995	10.31
11-1995	10.358
11-1995	10.425
11-1995	10.51
11-1995	10.493
11-1995	10.625
11-1995	10.806
11-1995	10.76
11-1995	10.889
11-1995	10.935
11-1995	10.951
11-1995	11.025
11-1995	11.012
11-1995	11.149
11-1995	11.258
11-1995	11.37
11-1995	11.505
11-1995	11.646
11-1995	11.832
11-1995	11.853
11-1995	11.976
12-1995	12.195
12-1995	12.305
12-1995	12.37
12-1995	12.445
12-1995	12.494
12-1995	12.501
12-1995	12.475
12-1995	12.462
12-1995	12.531
12-1995	12.656
12-1995	12.617
12-1995	12.558
12-1995	12.648
12-1995	12.707
12-1995	12.84
12-1995	13.003
12-1995	12.923
12-1995	12.93
12-1995	12.995
12-1995	13.133
12-1995	13.182
12-1995	13.22
12-1995	13.289
12-1995	13.305
12-1995	13.344
12-1995	13.363
12-1995	13.422
12-1995	13.583
12-1995	13.641
12-1995	13.707
12-1995	13.702
01-1996	13.804
01-1996	13.818
01-1996	13.786
01-1996	13.791
01-1996	13.839
01-1996	13.877
01-1996	14.007
01-1996	13.976
01-1996	13.941
01-1996	13.915
01-1996	13.95
01-1996	13.951
01-1996	14.095
01-1996	14.025
01-1996	14.037
01-1996	14.15
01-1996	14.22
01-1996	14.237
01-1996	14.318
01-1996	14.338
01-1996	14.256
01-1996	14.373
01-1996	14.423
01-1996	14.467
01-1996	14.598
01-1996	14.405
01-1996	14.527
01-1996	14.625
01-1996	14.532
01-1996	14.653
01-1996	14.673
02-1996	14.706
02-1996	14.798
02-1996	14.803
02-1996	14.818
02-1996	14.873
02-1996	14.974
02-1996	15.058
02-1996	15.164
02-1996	15.191
02-1996	15.224
02-1996	15.174
02-1996	15.119
02-1996	15.088
02-1996	15.162
02-1996	15.235
02-1996	15.087
02-1996	15.157
02-1996	15.272
02-1996	15.319
02-1996	15.455
02-1996	15.484
02-1996	15.398
02-1996	15.406
02-1996	15.386
02-1996	15.301
02-1996	15.234
02-1996	15.2
02-1996	15.218
02-1996	15.186
03-1996	15.23
03-1996	15.232
03-1996	15.277
03-1996	15.245
03-1996	15.284
03-1996	15.326
03-1996	15.334
03-1996	15.337
03-1996	15.259
03-1996	15.273
03-1996	15.214
03-1996	15.202
03-1996	15.214
03-1996	15.169
03-1996	15.188
03-1996	15.118
03-1996	15.07
03-1996	15.021
03-1996	14.997
03-1996	15.007
03-1996	15.047
03-1996	15.086
03-1996	14.998
03-1996	14.966
03-1996	14.895
03-1996	14.925
03-1996	14.916
03-1996	14.976
03-1996	15.006
03-1996	15.016
03-1996	14.979
04-1996	14.827
04-1996	14.7
04-1996	14.63
04-1996	14.534
04-1996	14.476
04-1996	14.404
04-1996	14.373
04-1996	14.343
04-1996	14.35
04-1996	14.359
04-1996	14.324
04-1996	14.299
04-1996	14.268
04-1996	14.245
04-1996	14.213
04-1996	14.16
04-1996	14.128
04-1996	14.126
04-1996	14.109
04-1996	14.071
04-1996	14.106
04-1996	14.102
04-1996	14.097
04-1996	14.093
04-1996	13.991
04-1996	13.969
04-1996	13.916
04-1996	13.885
04-1996	13.759
04-1996	13.619
05-1996	13.547
05-1996	13.541
05-1996	13.539
05-1996	13.516
05-1996	13.49
05-1996	13.43
05-1996	13.312
05-1996	13.329
05-1996	13.307
05-1996	13.281
05-1996	13.165
05-1996	13.1
05-1996	13.079
05-1996	13.051
05-1996	13.017
05-1996	13.045
05-1996	13.039
05-1996	13.06
05-1996	13.021
05-1996	13.05
05-1996	13.009
05-1996	12.938
05-1996	12.934
05-1996	12.881
05-1996	12.841
05-1996	12.783
05-1996	12.758
05-1996	12.814
05-1996	12.76
05-1996	12.668
05-1996	12.626
06-1996	12.494
06-1996	12.486
06-1996	12.439
06-1996	12.419
06-1996	12.39
06-1996	12.391
06-1996	12.344
06-1996	12.311
06-1996	12.26
06-1996	12.239
